slug,section,label,value
eha-parkview-eldercare-perling,policies,Visiting hours,Contact facility to confirm
eha-parkview-eldercare-perling,policies,Deposit,Contact facility to confirm
eha-parkview-eldercare-perling,policies,JKM licence,Verify before listing
eha-parkview-eldercare-perling,policies,Halal dining,Confirm with facility
eha-parkview-eldercare-perling,policies,Ownership type,Private
eha-parkview-eldercare-perling,rooms,Long-term care (monthly),RM 3,200/month (all-in)
eha-parkview-eldercare-perling,rooms,Respite / short-term,RM 120/day
eha-parkview-eldercare-perling,rooms,Day care,RM 1,500/month
eha-parkview-eldercare-perling,included,4 meals per day,Yes — included in base rate
eha-parkview-eldercare-perling,included,Nursing care 24/7,Yes
eha-parkview-eldercare-perling,included,Physiotherapy,Yes
eha-parkview-eldercare-perling,included,Occupational therapy,Yes
eha-parkview-eldercare-perling,included,Speech therapy,Yes
eha-parkview-eldercare-perling,included,Wound care,Yes
eha-parkview-eldercare-perling,included,Catheter care,Yes
eha-parkview-eldercare-perling,included,NGT management,Yes
eha-parkview-eldercare-perling,included,Stoma care,Yes
eha-parkview-eldercare-perling,included,Suction,Yes
eha-parkview-eldercare-perling,included,Wheelchair accessible,Yes
eha-parkview-eldercare-perling,clinical,Physiotherapy (PT),yes
eha-parkview-eldercare-perling,clinical,Occupational therapy (OT),yes
eha-parkview-eldercare-perling,clinical,Speech therapy,yes
eha-parkview-eldercare-perling,clinical,Nasogastric tube (NGT),yes
eha-parkview-eldercare-perling,clinical,Catheter care,yes
eha-parkview-eldercare-perling,clinical,Suction,yes
eha-parkview-eldercare-perling,clinical,Stoma care,yes
eha-parkview-eldercare-perling,clinical,Wound care,yes
eha-parkview-eldercare-perling,clinical,Dementia unit,unknown — not confirmed
eha-parkview-eldercare-perling,clinical,Dialysis,unknown — not confirmed
eha-parkview-eldercare-perling,clinical,PEG tube,unknown — not confirmed
eha-parkview-eldercare-perling,staffing,Nursing care,24/7
eha-parkview-eldercare-perling,staffing,Physiotherapy,In-house
eha-parkview-eldercare-perling,staffing,Occupational therapy,In-house
eha-parkview-eldercare-perling,staffing,Speech therapy,In-house
eha-parkview-eldercare-perling,staffing,Doctor visits,Confirm frequency with facility
eha-parkview-eldercare-perling,dining,Meals per day,4 (included in base rate)
